＜魚類＞あいなめ　生　　　,0.1,3.4,19.1,0,0,(0),113,100,グラム,0,0
＜魚類＞あこうだい　生　　　,0.1,2.3,16.8,0,0,(0),93,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　皮つき、生　　,0.1,4.5,19.7,0,0,(0),126,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　皮なし、刺身　　,0.2,4.1,19.7,0,0,(0),123,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　皮つき、水煮　　,0.1,5.9,22.4,0,0,(0),151,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　皮つき、焼き　　,0.1,6.4,25.9,0,0,(0),170,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　皮つき、フライ　　,7.9,18.2,20.1,0,0,-,276,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　開き干し　生　　,0.1,8.8,20.2,0,0,(0),168,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　開き干し　焼き　　,0.1,12.3,24.6,0,0,(0),220,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　小型　骨付き　生　　,0.1,5.0,17.8,0,0,(0),123,100,グラム,0,0
＜魚類＞（あじ類）　まあじ　小型　骨付き　から揚げ　,3.5,18.6,24.0,0,0,-,278,100,グラム,0,0
＜魚類＞（あじ類）　まるあじ　生　　,0.2,5.6,22.1,0,0,(0),147,100,グラム,0,0
＜魚類＞（あじ類）　まるあじ　焼き　　,0.2,7.7,28.7,0,0,(0),194,100,グラム,0,0
＜魚類＞（あじ類）　にしまあじ　生　　,0.1,9.1,19.6,0,0,(0),169,100,グラム,0,0
＜魚類＞（あじ類）　にしまあじ　水煮　　,0.1,8.8,21.7,0,0,(0),175,100,グラム,0,0
＜魚類＞（あじ類）　にしまあじ　焼き　　,0.1,10.4,24.7,0,0,(0),203,100,グラム,0,0
＜魚類＞（あじ類）　むろあじ　生　　,0.4,6.9,23.6,0,0,(0),166,100,グラム,0,0
＜魚類＞（あじ類）　むろあじ　焼き　　,0.6,6.2,29.7,0,0,(0),186,100,グラム,0,0
＜魚類＞（あじ類）　むろあじ　開き干し　　,0.1,6.2,22.9,0,0,(0),155,100,グラム,0,0
＜魚類＞（あじ類）　むろあじ　くさや　　,0.3,3.0,49.9,0,0,(0),240,100,グラム,0,0
＜魚類＞あなご　生　　　,Tr,9.3,17.3,0,0,(0),161,100,グラム,0,0
＜魚類＞あなご　蒸し　　　,Tr,12.7,17.6,0,0,(0),194,100,グラム,0,0
＜魚類＞あまご　養殖　生　　　,0.1,3.6,18.3,0,0,(0),112,100,グラム,0,0
＜魚類＞あまだい　生　　　,Tr,3.6,18.8,0,0,(0),113,100,グラム,0,0
＜魚類＞あまだい　水煮　　　,Tr,4.0,20.7,0,0,(0),125,100,グラム,0,0
＜魚類＞あまだい　焼き　　　,Tr,2.6,22.5,0,0,(0),119,100,グラム,0,0
＜魚類＞あゆ　天然　生　　　,0.1,2.4,18.3,0,0,(0),100,100,グラム,0,0
＜魚類＞あゆ　天然　焼き　　　,0.1,6.8,26.6,0,0,(0),177,100,グラム,0,0
＜魚類＞あゆ　天然　内臓　生　　　,0.3,17.5,9.5,0,0,(0),206,100,グラム,0,0
＜魚類＞あゆ　天然　内臓　焼き　　　,0.4,10.1,23.0,0,0,(0),194,100,グラム,0,0
＜魚類＞あゆ　養殖　生　　　,0.6,7.9,17.8,0,0,(0),152,100,グラム,0,0
＜魚類＞あゆ　養殖　焼き　　　,0.8,15.1,22.6,0,0,(0),241,100,グラム,0,0
＜魚類＞あゆ　養殖　内臓　生　　　,0.3,55.0,7.4,0,0,(0),550,100,グラム,0,0
