えのきたけ　生　　　,7.6,0.2,2.7,0,0,3.9,22,100,グラム,0,0
えのきたけ　ゆで　　　,7.8,0.1,2.8,0,0,4.5,22,100,グラム,0,0
えのきたけ　油いため　　　,8.8,3.9,3.0,0,0,4.6,58,100,グラム,0,0
えのきたけ　味付け瓶詰　　　,16.9,0.3,3.6,0,0,4.1,85,100,グラム,0,0
（きくらげ類）　あらげきくらげ　乾　　,77.0,0.7,6.9,0,0,79.5,171,100,グラム,0,0
（きくらげ類）　あらげきくらげ　ゆで　　,16.1,0.1,1.2,0,0,16.3,35,100,グラム,0,0
（きくらげ類）　あらげきくらげ　油いため　　,27.8,5.2,2.3,0,0,28.6,107,100,グラム,0,0
（きくらげ類）　きくらげ　乾　　,71.1,2.1,7.9,0,0,57.4,167,100,グラム,0,0
（きくらげ類）　きくらげ　ゆで　　,5.2,0.2,0.6,0,0,5.2,13,100,グラム,0,0
（きくらげ類）　しろきくらげ　乾　　,74.5,0.7,4.9,0,0,68.7,162,100,グラム,0,0
（きくらげ類）　しろきくらげ　ゆで　　,6.7,Tr,0.4,0,0,6.4,14,100,グラム,0,0
くろあわびたけ　生　　　,4.9,0.4,3.7,0,0,4.1,19,100,グラム,0,0
しいたけ　生しいたけ　菌床栽培　生　　,5.7,0.3,3.0,0,0,4.2,19,100,グラム,0,0
しいたけ　生しいたけ　菌床栽培　ゆで　　,5.1,0.4,2.5,0,0,4.4,17,100,グラム,0,0
しいたけ　生しいたけ　菌床栽培　油いため　　,7.3,4.1,3.3,0,0,4.7,57,100,グラム,0,0
しいたけ　生しいたけ　原木栽培　生　　,7.6,0.4,3.1,0,0,5.5,23,100,グラム,0,0
しいたけ　生しいたけ　原木栽培　ゆで　　,5.9,0.4,2.4,0,0,4.8,19,100,グラム,0,0
しいたけ　生しいたけ　原木栽培　油いため　　,8.8,5.4,3.8,0,0,6.4,73,100,グラム,0,0
しいたけ　乾しいたけ　乾　　,63.4,3.7,19.3,0,0,41.0,182,100,グラム,0,0
しいたけ　乾しいたけ　ゆで　　,16.7,0.5,3.2,0,0,7.5,42,100,グラム,0,0
（しめじ類）　はたけしめじ　生　　,4.5,0.3,2.6,0,0,2.7,15,100,グラム,0,0
（しめじ類）　はたけしめじ　ゆで　　,5.1,0.3,2.6,0,0,4.6,17,100,グラム,0,0
（しめじ類）　ぶなしめじ　生　　,5.0,0.6,2.7,0,0,3.7,18,100,グラム,0,0
（しめじ類）　ぶなしめじ　ゆで　　,6.5,0.3,3.3,0,0,4.8,21,100,グラム,0,0
（しめじ類）　ぶなしめじ　油いため　　,5.0,4.4,2.9,0,0,4.5,53,100,グラム,0,0
（しめじ類）　ほんしめじ　生　　,2.8,0.4,2.5,0,0,1.9,12,100,グラム,0,0
（しめじ類）　ほんしめじ　ゆで　　,4.1,0.6,2.8,0,0,3.3,16,100,グラム,0,0
たもぎたけ　生　　　,3.7,0.3,3.6,0,0,3.3,16,100,グラム,0,0
なめこ　生　　　,5.2,0.2,1.7,0,0,3.3,15,100,グラム,0,0
なめこ　ゆで　　　,5.1,0.1,1.6,0,0,2.7,14,100,グラム,0,0
なめこ　水煮缶詰　　　,3.2,0.1,1.0,0,0,2.5,9,100,グラム,0,0
ぬめりすぎたけ　生　　　,4.1,0.4,2.3,0,0,2.5,15,100,グラム,0,0
（ひらたけ類）　うすひらたけ　生　　,4.8,0.2,6.1,0,0,3.8,23,100,グラム,0,0
（ひらたけ類）　エリンギ　生　　,6.0,0.4,2.8,0,0,3.4,19,100,グラム,0,0
（ひらたけ類）　エリンギ　ゆで　　,6.5,0.5,3.2,0,0,4.8,21,100,グラム,0,0
（ひらたけ類）　エリンギ　焼き　　,9.1,0.5,4.2,0,0,5.4,29,100,グラム,0,0
（ひらたけ類）　エリンギ　油いため　　,8.1,3.7,3.2,0,0,4.2,55,100,グラム,0,0
（ひらたけ類）　ひらたけ　生　　,6.2,0.3,3.3,0,0,2.6,20,100,グラム,0,0
（ひらたけ類）　ひらたけ　ゆで　　,6.6,0.2,3.4,0,0,3.7,21,100,グラム,0,0
まいたけ　生　　　,4.4,0.5,2.0,0,0,3.5,15,100,グラム,0,0
まいたけ　ゆで　　　,6.4,0.5,1.6,0,0,4.3,18,100,グラム,0,0
まいたけ　油いため　　　,6.8,4.4,2.6,0,0,4.7,56,100,グラム,0,0
まいたけ　乾　　　,59.9,3.9,21.9,0,0,40.9,181,100,グラム,0,0
マッシュルーム　生　　　,2.1,0.3,2.9,0,0,2.0,11,100,グラム,0,0
マッシュルーム　ゆで　　　,3.7,0.2,3.8,0,0,3.3,16,100,グラム,0,0
マッシュルーム　油いため　　　,4.5,4.5,3.6,0,0,3.4,56,100,グラム,0,0
マッシュルーム　水煮缶詰　　　,3.3,0.2,3.4,0,0,3.2,14,100,グラム,0,0
まつたけ　生　　　,8.2,0.6,2.0,0,0,4.7,23,100,グラム,0,0
やなぎまつたけ　生　　　,4.0,0.1,2.4,0,0,3.0,13,100,グラム,0,0
