あおさ　素干し　　　,41.7,0.6,22.1,0,0,29.1,130,100,グラム,0,0
あおのり　素干し　　　,41.0,5.2,29.4,0,0,35.2,164,100,グラム,0,0
あまのり　ほしのり　　　,38.7,3.7,39.4,0,0,31.2,173,100,グラム,0,0
あまのり　焼きのり　　　,44.3,3.7,41.4,0,0,36.0,188,100,グラム,0,0
あまのり　味付けのり　　　,41.8,3.5,40.0,0,0,25.2,359,100,グラム,0,0
あらめ　蒸し干し　　　,56.2,0.7,12.4,0,0,48.0,140,100,グラム,0,0
いわのり　素干し　　　,39.1,0.7,34.8,0,0,36.4,151,100,グラム,0,0
うみぶどう　生　　　,1.2,0.1,0.5,0,0,0.8,4,100,グラム,0,0
えごのり　素干し　　　,62.2,0.1,9.0,0,0,53.3,143,100,グラム,0,0
えごのり　おきうと　　　,2.5,0.1,0.3,0,0,2.5,6,100,グラム,0,0
おごのり　塩蔵　塩抜き　　　,8.8,0.1,1.3,0,0,7.5,21,100,グラム,0,0
かわのり　素干し　　　,41.7,1.6,38.1,0,0,41.7,167,100,グラム,0,0
（こんぶ類）　えながおにこんぶ　素干し　　,55.7,1.0,11.0,0,0,24.9,138,100,グラム,0,0
（こんぶ類）　がごめこんぶ　素干し　　,62.1,0.5,7.9,0,0,34.2,142,100,グラム,0,0
（こんぶ類）　ながこんぶ　素干し　　,58.5,1.5,8.3,0,0,36.8,140,100,グラム,0,0
（こんぶ類）　ほそめこんぶ　素干し　　,62.9,1.7,6.9,0,0,32.9,147,100,グラム,0,0
（こんぶ類）　まこんぶ　素干し　　,61.5,1.2,8.2,0,0,27.1,145,100,グラム,0,0
（こんぶ類）　みついしこんぶ　素干し　　,64.7,1.9,7.7,0,0,34.8,153,100,グラム,0,0
（こんぶ類）　りしりこんぶ　素干し　　,56.5,2.0,8.0,0,0,31.4,138,100,グラム,0,0
（こんぶ類）　刻み昆布　　　,46.0,0.5,5.4,0,0,39.1,105,100,グラム,0,0
（こんぶ類）　削り昆布　　　,50.2,0.9,6.5,0,0,28.2,117,100,グラム,0,0
（こんぶ類）　塩昆布　　　,37.0,0.4,16.9,0,0,13.1,110,100,グラム,0,0
（こんぶ類）　つくだ煮　　　,33.3,1.0,6.0,0,0,6.8,168,100,グラム,0,0
すいぜんじのり　素干し　水戻し　　　,2.1,Tr,1.5,0,0,2.1,7,100,グラム,0,0
てんぐさ　素干し　　　,53.8,1.0,16.1,0,0,47.3,144,100,グラム,0,0
てんぐさ　ところてん　　　,0.6,0,0.2,0,0,0.6,2,100,グラム,0,0
てんぐさ　角寒天　　　,74.1,0.2,2.4,0,0,74.1,154,100,グラム,0,0
てんぐさ　寒天　　　,1.5,Tr,Tr,0,0,1.5,3,100,グラム,0,0
てんぐさ　粉寒天　　　,81.7,0.3,0.2,0,0,79.0,165,100,グラム,0,0
とさかのり　赤とさか　塩蔵　塩抜き　　,5.1,0.1,1.5,0,0,4.0,14,100,グラム,0,0
とさかのり　青とさか　塩蔵　塩抜き　　,4.9,0.2,0.9,0,0,4.1,13,100,グラム,0,0
ひじき　ほしひじき　ステンレス釜　乾　　,58.4,3.2,9.2,0,0,51.8,149,100,グラム,0,0
ひじき　ほしひじき　ステンレス釜　ゆで　　,3.4,0.3,0.7,0,0,3.7,10,100,グラム,0,0
ひじき　ほしひじき　ステンレス釜　油いため　　,4.1,4.7,0.8,0,0,4.5,51,100,グラム,0,0
ひじき　ほしひじき　鉄釜　乾　　,56.0,3.2,9.2,0,0,51.8,145,100,グラム,0,0
ひじき　ほしひじき　鉄釜　ゆで　　,3.4,0.3,0.7,0,0,3.7,10,100,グラム,0,0
ひじき　ほしひじき　鉄釜　油いため　　,4.1,4.7,0.8,0,0,4.5,51,100,グラム,0,0
ひとえぐさ　素干し　　　,46.3,1.0,16.6,0,0,44.2,130,100,グラム,0,0
ひとえぐさ　つくだ煮　　　,21.1,1.3,14.4,0,0,4.1,154,100,グラム,0,0
ふのり　素干し　　　,57.8,1.0,13.8,0,0,43.1,148,100,グラム,0,0
まつも　素干し　　　,40.8,4.9,27.9,0,0,28.5,159,100,グラム,0,0
むかでのり　塩蔵　塩抜き　　　,4.2,0.1,0.6,0,0,4.2,10,100,グラム,0,0
（もずく類）　おきなわもずく　塩蔵　塩抜き　　,2.0,0.2,0.3,0,0,2.0,6,100,グラム,0,0
（もずく類）　もずく　塩蔵　塩抜き　　,1.4,0.1,0.2,0,0,1.4,4,100,グラム,0,0
わかめ　原藻　生　　　,5.6,0.2,1.9,0,0,3.6,16,100,グラム,0,0
わかめ　乾燥わかめ　素干し　　,41.3,1.6,13.6,0,0,32.7,117,100,グラム,0,0
わかめ　乾燥わかめ　素干し　水戻し　　,5.9,0.3,2.0,0,0,5.8,17,100,グラム,0,0
わかめ　乾燥わかめ　板わかめ　　,47.4,1.2,16.7,0,0,31.7,134,100,グラム,0,0
わかめ　乾燥わかめ　灰干し　水戻し　　,2.2,0.1,1.1,0,0,2.2,7,100,グラム,0,0
わかめ　カットわかめ　　　,41.8,4.0,18.0,0,0,35.6,138,100,グラム,0,0
わかめ　湯通し塩蔵わかめ　塩抜き　　,3.1,0.4,1.7,0,0,3.0,11,100,グラム,0,0
わかめ　くきわかめ　湯通し塩蔵　塩抜き　　,5.5,0.3,1.1,0,0,5.1,15,100,グラム,0,0
わかめ　めかぶわかめ　生　　,3.4,0.6,0.9,0,0,3.4,11,100,グラム,0,0
