＜アルコール飲料類＞（醸造酒類）　清酒　普通酒　　,4.9,Tr,0.4,0,0,0,109,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　清酒　純米酒　　,3.6,Tr,0.4,0,0,0,103,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　清酒　本醸造酒　　,4.5,0,0.4,0,0,0,107,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　清酒　吟醸酒　　,3.6,0,0.3,0,0,0,104,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　清酒　純米吟醸酒　　,4.1,0,0.4,0,0,0,103,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　ビール　淡色　　,3.1,0,0.3,0,0,0,40,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　ビール　黒　　,3.6,Tr,0.4,0,0,0.2,46,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　ビール　スタウト　　,4.9,Tr,0.5,0,0,0.3,63,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　発泡酒　　　,3.6,0,0.1,0,0,0,45,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　ぶどう酒　白　　,2,Tr,0.1,0,0,-,73,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　ぶどう酒　赤　　,1.5,Tr,0.2,0,0,-,73,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　ぶどう酒　ロゼ　　,4,Tr,0.1,0,0,0,77,100,グラム,1,0
＜アルコール飲料類＞（醸造酒類）　紹興酒　　　　,5.1,Tr,1.7,0,0,Tr,127,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）しょうちゅう　連続式蒸留しょうちゅう　　,0,0,0,0,0,0,206,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）しょうちゅう　単式蒸留しょうちゅう　　,0,0,0,0,0,0,146,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）ウイスキー　　　,0,0,0,0,0,0,237,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）ブランデー　　　,0,0,0,0,0,0,237,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）ウオッカ　　　,Tr,0,0,0,0,0,240,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）ジン　　　,0.1,Tr,0,0,0,0,284,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）ラム　　　,0.1,Tr,0,0,0,0,240,100,グラム,1,0
＜アルコール飲料類＞（蒸留酒類）マオタイ酒　　　,0,0,0,0,0,0,322,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）梅酒　　　,20.7,Tr,0.1,0,0,-,156,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）合成清酒　　　,5.3,0,0.1,0,0,-,109,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）白酒　　　,48.1,Tr,1.9,0,0,-,238,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）みりん　本みりん　　,43.2,Tr,0.3,0,0,-,241,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）みりん　本直し　　,14.4,Tr,0.1,0,0,-,181,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）薬味酒　　　,26.8,Tr,Tr,0,0,-,182,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）キュラソー　　　,26.4,Tr,Tr,0,0,-,322,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）スイートワイン　　　,13.4,0,0.1,0,0,-,133,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）ペパーミント　　　,37.6,0,0,0,0,-,302,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）ベルモット　甘口タイプ　　,16.4,0,0.1,0,0,-,152,100,グラム,1,0
＜アルコール飲料類＞（混成酒類）ベルモット　辛口タイプ　　,3.7,0,0.1,0,0,-,117,100,グラム,1,0
＜茶類＞　（緑茶類）　玉露　茶　,43.9,4.1,29.1,0,0,43.9,329,100,グラム,1,0
＜茶類＞　（緑茶類）　玉露　浸出液　,Tr,0,1.3,0,0,-,5,100,グラム,1,0
